	cluster	q	p	overall_frequency	C1_nf	C2_nf	C3_nf	C4_nf	C5_nf	C1_f	C2_f	C3_f	C4_f	C5_f	C1_mut	C1_wt	C2_mut	C2_wt	C3_mut	C3_wt	C4_mut	C4_wt	C5_mut	C5_wt	C1_sum	C2_sum	C3_sum	C4_sum	C5_sum
ZEB2	C1	3.594558649008105e-05	9.99990000099999e-06	0.06909090909090909	0.4736842105263158	0.2631578947368421	0.05263157894736842	0.1842105263157895	0.02631578947368421	0.03272727272727273	0.01818181818181818	0.0036363636363636364	0.012727272727272728	0.0018181818181818182	18	96	10	117	2	93	7	68	1	138	34	18	4	14	2
BCL7A	C1	9.614361687708424e-05	2.999970000299997e-05	0.09636363636363636	0.339622641509434	0.07547169811320754	0.20754716981132076	0.2830188679245283	0.09433962264150943	0.03272727272727273	0.007272727272727273	0.02	0.02727272727272727	0.00909090909090909	18	96	4	123	11	84	15	60	5	134	32	8	22	30	9
TMEM30A	C1	0.00017733156001773317	5.999940000599994e-05	0.07636363636363637	0.5238095238095237	0.09523809523809523	0.14285714285714285	0.047619047619047616	0.19047619047619047	0.04	0.007272727272727273	0.01090909090909091	0.0036363636363636364	0.014545454545454545	22	92	4	123	6	89	2	73	8	131	44	8	12	4	16
EBF1	C1	0.00017733156001773317	5.999940000599994e-05	0.10363636363636364	0.3508771929824561	0.19298245614035087	0.15789473684210528	0.2456140350877193	0.052631578947368425	0.03636363636363636	0.02	0.016363636363636365	0.025454545454545455	0.005454545454545455	20	94	11	116	9	86	14	61	3	136	39	21	18	27	5
GNAI2	C1	0.00028912754350717365	9.99990000099999e-05	0.06545454545454546	0.41666666666666663	0.08333333333333333	0.3333333333333333	0.1111111111111111	0.05555555555555555	0.02727272727272727	0.005454545454545455	0.02181818181818182	0.007272727272727273	0.0036363636363636364	15	99	3	124	12	83	4	71	2	137	30	6	22	8	3
NFKBIE	C1	0.0012181186599348958	0.0004899951000489995	0.049090909090909095	0.4444444444444444	0.07407407407407407	0.037037037037037035	0.2962962962962963	0.14814814814814814	0.02181818181818182	0.0036363636363636364	0.0018181818181818182	0.014545454545454545	0.007272727272727273	12	102	2	125	1	94	8	67	4	135	23	4	2	16	7
BCL6	C1	0.0014992577346953804	0.0006199938000619994	0.07818181818181819	0.4418604651162791	0.06976744186046512	0.20930232558139536	0.13953488372093023	0.13953488372093023	0.034545454545454546	0.005454545454545455	0.016363636363636365	0.01090909090909091	0.01090909090909091	19	95	3	124	9	86	6	69	6	133	38	6	18	12	11
SPEN	C1	0.0030069264524746056	0.0012999870001299987	0.10545454545454547	0.43103448275862066	0.20689655172413793	0.08620689655172413	0.10344827586206896	0.17241379310344826	0.045454545454545456	0.02181818181818182	0.00909090909090909	0.01090909090909091	0.01818181818181818	25	89	12	115	5	90	6	69	10	129	48	23	9	10	19
CXCR4	C1	0.0036518278885007763	0.0016199838001619985	0.03272727272727272	0.38888888888888895	0.055555555555555566	0.11111111111111113	0.38888888888888895	0.055555555555555566	0.012727272727272728	0.0018181818181818182	0.0036363636363636364	0.012727272727272728	0.0018181818181818182	7	107	1	126	2	93	7	68	1	138	14	2	4	14	2
IKZF3	C1	0.005492953200549295	0.0025399746002539975	0.04909090909090909	0.4814814814814815	0.07407407407407408	0.07407407407407408	0.03703703703703704	0.33333333333333337	0.023636363636363636	0.0036363636363636364	0.0036363636363636364	0.0018181818181818182	0.016363636363636365	13	101	2	125	2	93	1	74	9	130	25	4	4	2	17
